table_name,table_description,column_name&description
MH_RO_HDR_DETAILS,Contains Repair Order header details,Shield_validity_Flag (STRING) NULLABLE: Shield Validity Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,SCHEME_EXP_DATE (DATE) NULLABLE: Scheme Expiry Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,Shield_Registration_Flag (STRING) NULLABLE: Shield Registration Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,MRP (NUMERIC) NULLABLE: MRP
MH_RO_HDR_DETAILS,Contains Repair Order header details,NDP (NUMERIC) NULLABLE: NDP
MH_RO_HDR_DETAILS,Contains Repair Order header details,PART_QTY (NUMERIC) NULLABLE: Part Quantity
MH_RO_HDR_DETAILS,Contains Repair Order header details,Ageing_Bucket (NUMERIC) NULLABLE: Ageing Bucket
MH_RO_HDR_DETAILS,Contains Repair Order header details,BROUGHT_BY_NAME (STRING) NULLABLE: Brought By Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,VEHICLE_BROUGHT_BY (STRING) NULLABLE: Vehicle Brought By
MH_RO_HDR_DETAILS,Contains Repair Order header details,SA_FEEDBCK_STATS (STRING) NULLABLE: Service Advisor Feedback Status
MH_RO_HDR_DETAILS,Contains Repair Order header details,ACCESORIES_FLAG (STRING) NULLABLE: Accessories Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,DIV_KEY (STRING) NULLABLE: Division Key
MH_RO_HDR_DETAILS,Contains Repair Order header details,REG_NUMBR (STRING) NULLABLE: Registration Number
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_REMRKS (STRING) NULLABLE: RO Remarks
MH_RO_HDR_DETAILS,Contains Repair Order header details,BAY_ACTV_IND (STRING) NULLABLE: Bay Active Indicator
MH_RO_HDR_DETAILS,Contains Repair Order header details,APPL_TO (STRING) NULLABLE: Applied To
MH_RO_HDR_DETAILS,Contains Repair Order header details,WARRANTY_AGEING_RO (INTEGER) NULLABLE: Warranty Ageing RO
MH_RO_HDR_DETAILS,Contains Repair Order header details,WARRANTY_AGEING_TDAY (INTEGER) NULLABLE: Warranty Ageing Today
MH_RO_HDR_DETAILS,Contains Repair Order header details,SERVC_TYPE_DESC (STRING) NULLABLE: Service Type Description
MH_RO_HDR_DETAILS,Contains Repair Order header details,SERV_CATGRY_DESC (STRING) NULLABLE: Service Category Description
MH_RO_HDR_DETAILS,Contains Repair Order header details,MODL_COLR_KEY (STRING) NULLABLE: Model Color Key
MH_RO_HDR_DETAILS,Contains Repair Order header details,ro_source_name (STRING) NULLABLE: RO Source Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,service_type_name (STRING) NULLABLE: Service Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,repair_order_same_day_delay_reason (STRING) NULLABLE: Repair Order Same Day Delay Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,estimation_variation_reason (STRING) NULLABLE: Estimation Variation Reason
